id,职位,城市,学历,工作年限,薪资,第一标签,第二标签,第三标签,技能库,公司名称,融资阶段,公司规模
4151863,大数据分析师,北京,本科,不限,10k-20k,开发|测试|运维类,数据开发,数据分析,"['算法', '数据挖掘', '数据分析']",泛钛客,A轮,150-500人
5371833,数据分析师,上海,本科,3-5年,20k-25k,产品|需求|项目类,数据分析,数据分析,"['可视化', 'SQL', '数据分析', '数据库']",鸿研物流,C轮,150-500人
5941650,数据分析师,北京,本科,1-3年,20k-30k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营']",酷得少年,A轮,50-150人
5975583,数据分析师,上海,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,数据分析,[],维信金融科技集团,上市公司,2000人以上
5885332,数据分析师,北京,本科,1-3年,13k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', 'SQL', '数据库']",蚂蚁短租,C轮,150-500人
5372143,数据分析师,武汉,大专,3-5年,6k-10k,产品|需求|项目类,数据分析,数据分析,"['SPSS', 'SQL', '数据分析', '数据运营']",优品财富管理有限公司,未融资,500-2000人
5524909,数据分析师（商品方向）,深圳,本科,3-5年,15k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '商业']",立创商城,A轮,150-500人
5927298,数据分析师,上海,本科,3-5年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '可视化', '数据运营']",乐元素游戏,不需要融资,500-2000人
5635541,数据分析师,北京,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,业务运营,['数据分析'],医联,D轮及以上,150-500人
5905232,数据分析师,上海,本科,3-5年,20k-35k,开发|测试|运维类,数据开发,数据分析,"['数据仓库', '数据分析']",星合金融科技,不需要融资,50-150人
5677709,（民航）数据分析师,上海,硕士,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['可视化', 'SPSS', '数据分析']",飞常准,不需要融资,500-2000人
5887362,数据分析师,上海,本科,5-10年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '数据分析']",上海小牛互娱智能科技有限公司,未融资,500-2000人
5456635,数据分析师,上海,本科,3-5年,20k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'BI', '商业']",亚朵集团,不需要融资,2000人以上
5887362,数据分析师,上海,本科,5-10年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '数据分析']",上海小牛互娱智能科技有限公司,未融资,500-2000人
5456635,数据分析师,上海,本科,3-5年,20k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'BI', '商业']",亚朵集团,不需要融资,2000人以上
5151976,数据分析师,上海,不限,3-5年,10k-20k,开发|测试|运维类,数据开发,数据分析,['数据分析'],艾天科技,不需要融资,15-50人
4265476,数据分析师,杭州,本科,3-5年,15k-25k,开发|测试|运维类,数据开发,数据分析,['数据分析'],光云科技,不需要融资,500-2000人
5518593,数据分析师(J10177),北京,本科,1-3年,10k-20k,金融类,互联网金融,分析师,"['风控', '分析师']",包银消费金融,不需要融资,150-500人
5690955,数据分析师（数据运营）,上海,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', '数据库']",驰骛科技ChiefClouds,A轮,50-150人
3803867,数据分析师,北京,本科,1-3年,10k-20k,开发|测试|运维类,数据开发,数据分析,['数据分析'],她理财,A轮,50-150人
5037237,数据分析师,武汉,本科,1-3年,3k-6k,金融类,互联网金融,分析师,['分析师'],灯塔财经,不需要融资,50-150人
